oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
ca;6017916;ca;55128;Serf to Surf Products
au;122518361;au;53597;KEVIN.MURPHY
au;159361547;au;52742;ECO Minerals
au;140677916;au;54364;Nude by Nature
au;119786837;au;55891;Y-Not Natural
sg;201502627D;sg;53243;Handmade Heroes
ca_ns;1020116;ca_ns;53183;Green Forest
au;147537513;au;54062;Mine.Tan.Body.Skin
au;607655809;au;55795;Vine & Co
in;U93000WB2010PTC144619;in;53067;Future Skin
au;145745704;au;52076;Blessed Body
fr;480737030;fr;52420;COMPTOIR DES LYS
au;144533808;au;53255;Happy Skincare
hr;02788284;hr;53881;LUXURY COSMETICS
in;U74899DL1993PTC056151;in;54884;R.D.M. Care
ca;7068131;ca;52316;Cheeky Cosmetics
ca;7945108;ca;55388;Stark Skincare
gb;09066137;gb;55791;Ville De Fleurs
au;116205237;au;54385;Nutrimetics
ca_qc;2266834623;ca_qc;52284;Carina Corporation
gb;08323875;gb;52145;Bodyenrich
au;617952744;au;52813;ELEVEN AUSTRALIA
au;142274726;au;53012;Four Cow Farm
ca;6556892;ca;53542;Kaia Naturals, Inc.
fr;542019096;fr;57597;Alcatel-Lucent
gb;04709420;gb;2602219;Futerra Sustainability Communications
us_ny;5062;us_de;15539;The Colgate-Palmolive Company
au;010892270;au;1262224;Australian Agricultural Company Limited
au;098016883;au;2612032;Golden North Pty Ltd
au;000146672;au;2615832;De Bortoli Wines Pty Ltd
au;088657881;au;2608820;Dick Smith Foods Pty Ltd
au;004044937;au;47409;National Australia Bank
bd;C-28146;bd;2615860;Dhaka Bank Limited
be;0404060032;be;2624251;Van Hool
be;0439513433;be;2612155;De Lijn
ca_pe;24042;ca_pe;48274;Imperial Oil
ca_qc;1143863539;ca_qc;917452;Bell Canada
ca_nl;79127;ca_nl;2271495;Cott Corporation
ca_pe;21791;ca_pe;56442;Toronto-Dominion Bank
ca_nl;64183;ca_nl;2611622;Deloitte
hr;01537571;hr;2618066;Plinacro Ltd
dk;21643939;dk;2624113;Danish Crown AmbA
fi;0210161-4;fi;2616003;Pohjolan Voima Oy
mx;2393435;mx;2659592;Grupo Lala
nl;27084150;nl;965713;ASN Bank
pk;0001569;pk;2624164;Atlas Honda Limited
ro;476331;ro;2624180;SIVECO Romania SA
sk;35763469;sk;2618136;Slovak Telekom
si;5941903000;si;2618119;Adria Mobil
za;1996-008242-06;za;2624233;Netcare Limited
es;96859509;es;56093;Iberdrola
es;20014452;es;2315851;CIE Automotive SA
se;556155-8395;se;56023;ABB
se;556052-7466;se;2602266;Tieto
