company,wikirate_company,status,accept_status,aliases
RSA Insurance Group,,none,,"rsa insurance group,royalsunalliance"
Pentair,,none,,
Onex,,none,,
Dassault Aviation,,none,,"dassault aviation,dassault-aviation"
Comerica,,none,,
Hong Kong & China Gas,,none,,"hong kong & china gas,towngas"
Oneok,,none,,
Emaar Properties,,none,,"emaar properties,emaar"
Uni-President,,none,,
Hindalco Industries,,none,,"hindalco industries,hindalco,Hindalco"
Turkcell,,none,,
Reinsurance Group of America,,none,,"reinsurance group of america,rgare"
Broadcom,,none,,
Bank Negara Indonesia,,none,,"bank negara indonesia,bni"
Kuwait Finance House,,none,,"kuwait finance house,kfh"
Singapore Airlines,,none,,"singapore airlines,singaporeair"
Antofagasta,,none,,
Fidelity National Information,,none,,"fidelity national information,fidelityinfoservices"
Cathay Pacific Airways,,none,,"cathay pacific airways,cathaypacific,Cathay Pacific"
Public Storage,,none,,"public storage,publicstorage"
Jeronimo Martins,,none,,"jeronimo martins,jeronimomartins"
CapitaLand,,none,,
Schroders,,none,,
Coca-Cola Enterprises,,none,,"coca-cola enterprises,cokecce"
Rockwell Automation,,none,,"rockwell automation,rockwell automation, inc.,rockwellautomation"
Finmeccanica,,none,,
Wm Morrison Supermarkets,,none,,"wm morrison supermarkets,morereasons"
China Oilfield Services,,none,,"china oilfield services,cosl"
Showa Shell Sekiyu,Shell,partial,2,"showa shell sekiyu,showa-shell"
Schindler Holding,,none,,"schindler holding,schindler"
Continental Resources,,none,,"continental resources,clr"
Arab National Bank,,none,,"arab national bank,anb"
Next,,none,,
Amcor,,none,,
Brambles,,none,,
Sun Art Retail Group,,none,,"sun art retail group,sunartretail"
IntercontinentalExchange,,none,,"intercontinentalexchange,intercontinentalexchange group,theice"
Shaanxi Coal Industry,,none,,"shaanxi coal industry,jccc"
CenterPoint Energy,,none,,"centerpoint energy,centerpointenergy"
Advanced Info Service,Taiwan Semiconductor Manufacturing,partial,0,"advanced info service,ais"
Harley-Davidson,,none,,
Chongqing Rural Bank,,none,,"chongqing rural bank,cqrcb"
Uralkali,,none,,
Kyushu Electric Power,,none,,"kyushu electric power,kyuden"
SGS,,none,,
Terna,IBM (International Business Machines Corporation),partial,0,
O'Reilly Automotive,,none,,"o'reilly automotive,oreillyauto"
Sumitomo Chemical,,none,,"sumitomo chemical,sumitomo-chem"
Shin Kong Financial,,none,,"shin kong financial,skfhc"
McGraw-Hill Cos,,none,,"mcgraw-hill cos,mcgraw-hill"
Shire,,none,,Shire Pharmaceuticals
Assurant,,none,,
Cielo,,none,,
Bharat Petroleum,,none,,"bharat petroleum,bharatpetroleum"
IHI,,none,,
Ambac Financial Group,,none,,"ambac financial group,ambac"
Henan Shuanghui Investment,,none,,"henan shuanghui investment,shuanghui"
United Utilities,,none,,"united utilities,unitedutilities"
Storebrand,,none,,
Petronas Chemicals,,none,,"petronas chemicals,petronaschemicals"
Prologis,,none,,
Randstad Holding,,none,,"randstad holding,randstadholding,Randstad"
Attijariwafa Bank,,none,,"attijariwafa bank,attijariwafabank"
Sembcorp Industries,,none,,"sembcorp industries,sembcorp"
Melco Crown Entertainment,,none,,"melco crown entertainment,melco-crown"
China Resources Enterprise,Victoria s Secret Inc,partial,0,"china resources enterprise,cre"
China Eastern Airlines,,none,,"china eastern airlines,ce-air"
Mitsubishi Materials,,none,,"mitsubishi materials,mmc"
SES,Taiwan Semiconductor Manufacturing,partial,0,
Alleghany,,none,,
Arrow Electronics,,none,,"arrow electronics,arrow"
Boston Scientific,,none,,"boston scientific,bsci"
Suntory Beverage & Food,,none,,"suntory beverage & food,suntory"
Chicago Bridge & Iron,,none,,"chicago bridge & iron,cbi"
Huishang Bank Corporation Limited,,none,,"huishang bank corporation limited,hsbank"
Quest Diagnostics,,none,,"quest diagnostics,questdiagnostics"
China Southern Airlines,,none,,"china southern airlines,cs-air,China Airlines"
Brenntag,,none,,
General Growth Properties,,none,,"general growth properties,ggp"
Rexel,,none,,
Charter Communications,,none,,"charter communications,charter"
NetApp,,none,,
Starwood Hotels,,none,,"starwood hotels,starwood hotels & resorts worldwide, inc.,starwoodhotels"
Gjensidige Forsikring,,none,,"gjensidige forsikring,gjensidige"
Coach,,none,,Estee Lauder
London Stock Exchange,,none,,"london stock exchange,londonstockexchange"
Uniqa,,none,,
New York Community,,none,,"new york community,mynycb"
Keyence,,none,,
Santos,Monsanto Company,partial,0,
Taishin Financial Holdings,,none,,"taishin financial holdings,taishinholdings"
Industrivarden,,none,,
First Republic Bank,,none,,"first republic bank,firstrepublic"
Fiserv,,none,,
Mediobanca,,none,,
Vedanta Resources,Vedanta Resources plc,partial,1,"vedanta resources,vedantaresources"
EasyJet,,none,,
BYD,,none,,
PartnerRe,,none,,
Wisconsin Energy,,none,,"wisconsin energy,wisconsin energy corporation,wisconsinenergy"
Kinnevik,,none,,
Dongbu Insurance,,none,,"dongbu insurance,idongbu"
Molson Coors Brewing,,none,,"molson coors brewing,molsoncoors,Molson Coors,Molson"
Eurazeo,,none,,
Alliance Data Systems,,none,,"alliance data systems,alliancedata"
Arch Capital Group,,none,,"arch capital group,archcapgroup"
FMC Technologies,,none,,"fmc technologies,fmctechnologies"
Kintetsu,,none,,
Verbund,,none,,
HCL Technologies,,none,,"hcl technologies,hcltech"
Experian,,none,,
Sabesp,,none,,
Intuit,,none,,
Dai Nippon Printing,,none,,"dai nippon printing,dnp"
Goldcorp,,none,,"Goldcorp, Inc."
Quinenco,,none,,
Mitsubishi UFJ Lease,,none,,"mitsubishi ufj lease,lf"
Saputo,,none,,
Global Logistic Properties,,none,,"global logistic properties,glprop"
Advanced Semiconductor,,none,,"advanced semiconductor,advanced semiconductor engineering,asetwn"
Enka,,none,,
Lear,,none,,
Amadeus IT Holdings,,none,,"amadeus it holdings,amadeus"
Autoliv,,none,,
Zoomlion Heavy Industry,,none,,"zoomlion heavy industry,zljt"
Braskem,,none,,
Doosan Heavy Industries,,none,,"doosan heavy industries,doosanheavy"
Metalurgica Gerdau,,none,,"metalurgica gerdau,gerdau"
Alrosa,,none,,
Ameren,,none,,
Sojitz,,none,,
Fidelity National Financial,,none,,"fidelity national financial,fnf"
Hebei Iron & Steel,,none,,"hebei iron & steel,tangsteel"
Nidec,,none,,
American Financial Group,,none,,"american financial group,afginc"
Top Frontier Investment Holdings,,none,,"top frontier investment holdings,topfrontier"
Jacobs Engineering,,none,,"jacobs engineering,jacobs"
Beijing Enterprises,,none,,"beijing enterprises,behl"
China Taiping Insurance,,none,,"china taiping insurance,ctih"
ATOS,,none,,Atos (formerly Atos Origin)
Flextronics International,,none,,"flextronics international,flextronics,Solectron"
Julius Baer Group,,none,,"julius baer group,juliusbaer,Julius Baer"
S-Oil,,none,,
Direct Line Insurance,,none,,"direct line insurance,directlinegroup"
Dr Pepper Snapple Group,,none,,"dr pepper snapple group,dr pepper snapple group, inc.,drpeppersnapplegroup"
Nintendo,,none,,
Cincinnati Financial,,none,,"cincinnati financial,cinfin"
Hindustan Petroleum,,none,,"hindustan petroleum,hindustanpetroleum"
Crown Castle International,,none,,"crown castle international,crowncastle"
Lennar,,none,,
Equity Residential,,none,,"equity residential,equityresidential"
Zain,,none,,
Industrial Alliance Insurance,,none,,"industrial alliance insurance,inalco"
ZTE,,none,,
Intuitive Surgical,,none,,"intuitive surgical,intuitivesurgical"
PLDT,,none,,
CH Robinson Worldwide,,none,,"ch robinson worldwide,chrobinson"
Sino-Ocean Land Holdings,,none,,"sino-ocean land holdings,sinooceanland"
Union Bank of India,,none,,"union bank of india,unionbankofindia"
Avalonbay Communities,,none,,"avalonbay communities,avalonbay"
Host Hotels & Resorts,,none,,"host hotels & resorts,hosthotels"
Saudi Arabian Fertilizers,,none,,"saudi arabian fertilizers,safco"
Mead Johnson Nutrition,,none,,"mead johnson nutrition,mjn"
Century Tokyo Leasing,,none,,"century tokyo leasing,ctl"
Amphenol,,none,,
Hong Leong Financial,,none,,"hong leong financial,hongleong"
Banco Comercial Portugues,,none,,"banco comercial portugues,bcp"
First Quantum Minerals,,none,,"first quantum minerals,first-quantum,Inmet Mining"
Kotak Mahindra Bank,,none,,"kotak mahindra bank,kotak"
Southwestern Energy,,none,,"southwestern energy,swn"
Agile Property Holdings,,none,,"agile property holdings,agile"
Dubai Islamic Bank,,none,,"dubai islamic bank,alislami"
Raymond James Financial,,none,,"raymond james financial,raymondjames"
Michael Kors Holdings,,none,,"michael kors holdings,michaelkors"
Bankinter,,none,,
Health Care REIT,,none,,"health care reit,hcreit"
Chugoku Electric Power,,none,,"chugoku electric power,energia"
AutoNation,,none,,
Gemdale,,none,,
DSME,,none,,
Greentown China Holdings,,none,,"greentown china holdings,chinagreentown"
Eisai,,none,,Eisai Co. Ltd.
MISC,,none,,
Belle International Holdings,,none,,"belle international holdings,belleintl"
Oil & Gas Development,,none,,"oil & gas development,ogdcl"
Shoprite Holdings,,none,,"shoprite holdings,shoprite"
China Cosco Holdings,,none,,"china cosco holdings,chinacosco,Cosco"
Taisei,,none,,
Westfield Retail Trust,,none,,"westfield retail trust,westfieldretailtrust"
Petrofac,,none,,
Zions Bancorp,,none,,"zions bancorp,zionsbancorporation"
BBMG,,none,,
Sun Pharma Industries,,none,,"sun pharma industries,sunpharma"
First Financial Holding,,none,,"first financial holding,firstbank"
Canadian Oil Sands,,none,,"canadian oil sands,cos-trust"
China Merchants Property,,none,,"china merchants property,cmpd"
OMRON,,none,,
Hoya,,none,,
Juniper Networks,,none,,"juniper networks,juniper networks, inc.,juniper"
Saudi Arabian Mining,,none,,"saudi arabian mining,maaden,Saudi Arabian Airlines"
Universal Health,,none,,"universal health,uhsinc"
Givaudan,,none,,
Severstal,,none,,
Regeneron Pharmaceuticals,,none,,"regeneron pharmaceuticals,regeneron"
PGN,,none,,
China National Chemical,,none,,"china national chemical,cncec"
Keurig Green Mountain,,none,,"keurig green mountain,mge"
Infineon Technologies,,none,,"infineon technologies,infineon"
Orica,,none,,
CNO Financial Group,,none,,"cno financial group,cnoinc"
Obayashi,,none,,
JGC,,none,,
Abengoa,,none,,
Zoetis,,none,,
Helmerich & Payne,,none,,"helmerich & payne,hpinc"
YTL,,none,,
Avago Technologies,,none,,"avago technologies,avagotech"
Coca-Cola HBC,,none,,"coca-cola hbc,coca-colahellenic"
Rural Electrification,,none,,"rural electrification,recindia"
Xilinx,,none,,
Deutsche Annington Immobilien,,none,,"deutsche annington immobilien,deutsche-annington"
Rockwell Collins,,none,,"rockwell collins,rockwellcollins"
LabCorp,,none,,
Maxis,,none,,
Ternium,,none,,
Family Dollar Stores,,none,,"family dollar stores,familydollar,Family Dollar"
China International Marine,,none,,"china international marine,cimc"
Vallourec,,none,,
Check Point Software,,none,,"check point software,checkpoint"
Coloplast,,none,,
Protective Life,,none,,"protective life,protective"
Kajima,,none,,
Calpine,,none,,
Shanghai Construction,,none,,"shanghai construction,shconstruction"
CSN,,none,,
Unicharm,,none,,
Mohawk Industries,,none,,"mohawk industries,mohawkind"
SCANA,,none,,
Cheng Shin Rubber Industry Co.,,none,,"cheng shin rubber industry co.,maxxis"
Manpower,,none,,
Bunzl,,none,,
Ball,,none,,Ball Corp.
Metropolitan Bank & Trust,,none,,"metropolitan bank & trust,metrobank"
Jiangsu Yanghe Brewery,,none,,"jiangsu yanghe brewery,chinayanghe"
Innolux,,none,,
Travis Perkins,,none,,"travis perkins,travisperkins"
Flowserve,,none,,
Axis Capital Holdings,,none,,"axis capital holdings,axiscapital"
Mail.ru Group Ltd. Sponsored GDR RegS,Pegatron Corporation,partial,0,"mail.ru group ltd. sponsored gdr regs,corp"
Yamaguchi Financial,,none,,"yamaguchi financial,ymfg"
Sany Heavy Industry,,none,,"sany heavy industry,sany"
Iliad,,none,,
Commercial Bank of Qatar,,none,,"commercial bank of qatar,cbq"
Foncière des Régions,,none,,"foncière des régions,foncieredesregions"
Wuhan Iron & Steel,,none,,"wuhan iron & steel,wisco"
Hyundai Marine & Fire,Hitachi Ltd.,partial,0,"hyundai marine & fire,hi"
Perrigo,,none,,
Wyndham Worldwide,,none,,"wyndham worldwide,wyndham worldwide corporation,wyndhamworldwide,Wyndham"
Community Health Sys,Huawei Technologies Co. Ltd.,partial,0,"CHS,Community Health Systems"
Advance Auto Parts,,none,,"advance auto parts,advanceautoparts"
Aldar Properties,,none,,"aldar properties,aldar"
Charoen Pokphand Foods,,none,,"charoen pokphand foods,cpfworldwide,CP (Charoen Pokphand)"
Tele2,,none,,
Accor,,none,,
Zodiac Aerospace,,none,,"zodiac aerospace,zodiacaerospace"
Pioneer Natural Resources,,none,,"pioneer natural resources,pioneernrc"
Banco Occidental,,none,,"banco occidental,bodinternet"
Starwood Property Trust,,none,,
Gecina,,none,,
Cerner,,none,,
STRABAG,,none,,
United Rentals,,none,,"united rentals,unitedrentals"
Caesars Entertainment,,none,,"caesars entertainment,harrahs"
TAQA,,none,,
EQT,,none,,EQT Holdings AB
Ametek,,none,,
Level 3 Communications,,none,,"level 3 communications,level3"
Remgro,,none,,
Acciona,,none,,
Guangdong Electric Power,,none,,"guangdong electric power,ged"
Shanghai Pharmaceuticals,,none,,"shanghai pharmaceuticals,shaphar"
Renesas Electronics,,none,,"renesas electronics,necel"
E-Trade Financial,,none,,"e-trade financial,etrade"
TDC,,none,,
Olam International,,none,,"olam international,olamonline"
Assured Guaranty,,none,,"assured guaranty,assuredguaranty"
KLA-Tencor,,none,,
Netease,,none,,
SDIC Power Holdings,,none,,"sdic power holdings,sdicpower"
Kingdom Holding,,none,,"kingdom holding,kingdom"
Fastenal,,none,,
China Longyuan Power,,none,,"china longyuan power,clypg"
China Merchants Holdings,,none,,"china merchants holdings,cmhi"
Chongqing Changan Auto,,none,,"chongqing changan auto,changan"
FCC,,none,,
Olympus,,none,,
Yanzhou Coal Mining,,none,,"yanzhou coal mining,yanzhoucoal,Yanzhou Coal"
China Life Insurance (Taiwan),,none,,"china life insurance (taiwan),chinalife"
NXP Semiconductors,,none,,"nxp semiconductors,nxp"
Sunac China Holdings,,none,,"sunac china holdings,sunac"
Interpublic Group,,none,,"interpublic group,interpublic"
Electric Power Development,,none,,"electric power development,jpower"
Hengan International Group,,none,,"hengan international group,hengan"
Quanta Services,,none,,"quanta services,quantaservices"
Petronas Gas,,none,,"petronas gas,petronas dagangan,petronas"
Bendigo & Adelaide Bank,,none,,"bendigo & adelaide bank,bendigobank"
Whitbread,,none,,
Turkish Airlines,,none,,"turkish airlines,turkishairlines"
Hexagon,,none,,
Old Republic International,,none,,"old republic international,oldrepublic"
Grifols,,none,,
Visteon,,none,,
Sika,,none,,
Scripps Networks Interactive,,none,,"scripps networks interactive,scrippsnetworks"
Union National Bank,,none,,"union national bank,unb"
Terumo,,none,,
Geberit,,none,,
American Water Works,,none,,"american water works,amwater,American Water"
Isetan Mitsukoshi Holdings,,none,,"isetan mitsukoshi holdings,imhds"
Tenet Healthcare,,none,,"tenet healthcare,tenethealth"
China Hongqiao Group,,none,,"china hongqiao group,hongqiaochina"
Petsmart,,none,,
Sigma-Aldrich,,none,,
Newell Rubbermaid,,none,,"newell rubbermaid,newellrubbermaid"
Golden Agri-Resources,,none,,"golden agri-resources,goldenagri"
Bank of Chongqing,,none,,"bank of chongqing,cqcbank"
Nippon Paper Industries,,none,,"nippon paper industries,nipponpapergroup"
Taiwan Cooperative Financial,,none,,"taiwan cooperative financial,tcb-bank"
KT&G,,none,,"kt&g,ktng"
Willis Group Holdings,,none,,"willis group holdings,willis"
Actelion,,none,,
Intu Properties plc,,none,,"intu properties plc,capital-shopping-centres"
Cosan,,none,,Cosan Group
Westlake Chemical,,none,,"westlake chemical,westlake"
Suzuken,,none,,
Rockwood Holdings,,none,,"rockwood holdings,rockwoodspecialties"
Songbird Estates plc,,none,,"songbird estates plc,songbirdestates"
Mechel,,none,,
Industrias Peñoles,,none,,"industrias peñoles,penoles"
Darden Restaurants,,none,,"darden restaurants,darden restaurants, inc.,darden"
Two Harbors Investment,,none,,"two harbors investment,twoharborsinvestment"
Embraer,,none,,
World Fuel Services,,none,,"world fuel services,wfscorp"
Mizrahi Tefahot Bank,,none,,"mizrahi tefahot bank,mizrahi-tefahot"
Banca Popolare dell'Emilia,,none,,"banca popolare dell'emilia,gruppobper"
Dongfang Electric,,none,,"dongfang electric,dongfang"
Wistron,,none,,Wistron Corp.
Capita,,none,,
Hokuhoku Financial Group,,none,,"hokuhoku financial group,hokuhoku-fg"
SINOPEC Engineering (Group),,none,,"sinopec engineering (group),segroup"
Altera,,none,,
Chipotle Mexican Grill,,none,,"chipotle mexican grill,chipotle"
Linear Technology,,none,,"linear technology,linear"
China Mengniu Dairy,,none,,"china mengniu dairy,mengniu"
China Merchants Securities,,none,,"china merchants securities,cmschina"
Lundbergs,,none,,
Smurfit Kappa Group,,none,,"smurfit kappa group,smurfitkappa"
Avis Budget Group,,none,,"avis budget group,avisbudgetgroup,Avis Budget"
Hikvision,,none,,
Enagas,,none,,
Vestas Wind Systems,,none,,"vestas wind systems,vestas wind,vestas"
