"Valeant Pharmaceuticals","valeant pharmaceuticals|medicis|valeant pharmaceuticals international|valeant|Valeant"
"Finatis",""
"Phoenix Group Holdings","phoenix group holdings|thephoenixgroup"
"CSL",""
"Shanghai International Port","shanghai international port|portshanghai"
"Banque Saudi Fransi","banque saudi fransi|alfransi"
"Dexia","Dexia Group"
"Banque nationale de Belgique","banque nationale de belgique|bnb"
"Huadian Power International","huadian power international|hdpi"
"CarMax",""
"Shanghai Electric Group","shanghai electric group|shanghai-electric"
"Aluminum Corp of China","aluminum corp of china|chalco|Aluminum Corporation of China"
"Hermès International","hermès international|hermes-international|Hermès"
"Huntington Bancshares","huntington bancshares|huntington"
"RSA Insurance Group","rsa insurance group|royalsunalliance"
"Pentair",""
"Onex",""
"Dassault Aviation","dassault aviation|dassault-aviation"
"Comerica",""
"Hong Kong & China Gas","hong kong & china gas|towngas"
"Oneok",""
"Emaar Properties","emaar properties|emaar"
"Uni-President",""
"Hindalco Industries","hindalco industries|hindalco|Hindalco "
"Turkcell",""
"Reinsurance Group of America","reinsurance group of america|rgare"
"Broadcom",""
"Bank Negara Indonesia","bank negara indonesia|bni"
"Kuwait Finance House","kuwait finance house|kfh"
"Singapore Airlines","singapore airlines|singaporeair"
"Antofagasta",""
"Fidelity National Information","fidelity national information|fidelityinfoservices"
"Cathay Pacific Airways","cathay pacific airways|cathaypacific|Cathay Pacific|Cathay Pacific Airways Ltd."
"Public Storage","public storage|publicstorage"
"Jeronimo Martins","jeronimo martins|jeronimomartins"
"Schroders",""
"Coca-Cola Enterprises","coca-cola enterprises|cokecce|Coca-Cola Enterprises Inc."
"Rockwell Automation","rockwell automation|rockwell automation, inc.|rockwellautomation"
"Finmeccanica",""
"Wm Morrison Supermarkets","wm morrison supermarkets|morereasons"
"China Oilfield Services","china oilfield services|cosl"
"Showa Shell Sekiyu","showa shell sekiyu|showa-shell"
"Schindler Holding","schindler holding|schindler"
