metric,company_name,year,value,source
"Newsweek+Water Productivity","State Bank of India","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","State Bank of India","2015","15.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Waste Productivity","State Bank of India","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","State Bank of India","2012","54","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-global-500-list.html"
"Newsweek+Environmental figures audited","Philip Morris International","2015","5","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Energy Productivity","Philip Morris International","2015","10.50","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Greenhouse Gas Productivity","Philip Morris International","2015","8.70","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Sustainability Pay Link","Philip Morris International","2015","10","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Water Productivity","Philip Morris International","2015","13.10","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","Philip Morris International","2015","55.80","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Waste Productivity","Philip Morris International","2015","8.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","Philip Morris International","2012","45","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-u-s-500-list.html"
"Newsweek+Environmental figures audited","PNC Financial Services","2015","5","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Energy Productivity","PNC Financial Services","2015","1.80","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Water Productivity","PNC Financial Services","2015","1.70","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Greenhouse Gas Productivity","PNC Financial Services","2015","2.60","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
