wikirate_company_name,wikirate_id,wikipedia_company_page
ORYX GTL,968815,https://en.wikipedia.org/wiki/ORYX_GTL
RasGas,968836,https://en.wikipedia.org/wiki/RasGas
Ursus Breweries,975194,https://en.wikipedia.org/wiki/Ursus_Breweries
Raiffeisen Bank Romania,967751,https://en.wikipedia.org/wiki/Raiffeisen_Romania
Al Rajhi Bank,57219,https://en.wikipedia.org/wiki/Al-Rajhi_Bank
Almarai,50525,https://en.wikipedia.org/wiki/Almarai
Alinma Bank,58766,https://en.wikipedia.org/wiki/Alinma_Bank
Kingdom Holding,50102,https://en.wikipedia.org/wiki/Kingdom_Holding_Company
Saudi Investment Bank,50759,https://en.wikipedia.org/wiki/Saudi_Investment_Company
Saudi Telecom,56964,https://en.wikipedia.org/wiki/Saudi_Telecom_Company
Saudi British Bank,48790,https://en.wikipedia.org/wiki/Saudi_British_Bank
Samba Financial Group,57461,https://en.wikipedia.org/wiki/Samba_Financial_Group
Arab National Bank,49205,https://en.wikipedia.org/wiki/Arab_National_Bank
Petro Rabigh,58307,https://en.wikipedia.org/wiki/Petro_Rabigh
Saudi Hollandi Bank,50411,https://en.wikipedia.org/wiki/Saudi_Hollandi_Bank
Mobily,48647,https://en.wikipedia.org/wiki/Mobily
Riyad Bank,57473,https://en.wikipedia.org/wiki/Riyad_Bank
Spirit AeroSystems,860705,https://en.wikipedia.org/wiki/Spirit_AeroSystems
Sasol,47873,https://en.wikipedia.org/wiki/Sasol
Pick n Pay,801407,https://en.wikipedia.org/wiki/Pick_%27n_Pay_Stores
Gold Fields,786522,https://en.wikipedia.org/wiki/Gold_Fields
HARMONY GOLD,786557,https://en.wikipedia.org/wiki/Harmony_Gold_(mining)
